,TradeID,Ticker,SignalDate,EntryPrice,StopLoss,TargetPrice,Status,ExitPrice,ExitDate,PnL,Notes,EntryDate
66,a2bb0f14,ADANIPOWER.NS,2026-01-06,146.56,141.33,157.03,OPEN,,,0,STRONG BUY,
67,33c02e31,APLAPOLLO.NS,2026-01-06,1884.21,1823.83,2004.95,OPEN,,,0,STRONG BUY,
68,93647c84,ASHOKLEY.NS,2026-01-06,177.27,171.09,189.63,OPEN,,,0,STRONG BUY,
69,9a5e7655,ASIANPAINT.NS,2026-01-06,2842.9,2774.7,2979.31,OPEN,,,0,STRONG BUY,
70,628e8f4e,AUROPHARMA.NS,2026-01-06,1216.9,1181.96,1286.79,OPEN,,,0,STRONG BUY,
71,7665e1a7,AXISBANK.NS,2026-01-06,1270.47,1243.74,1323.94,OPEN,,,0,STRONG BUY,
72,98a7744e,CANBK.NS,2026-01-06,152.78,148.16,162.03,OPEN,,,0,STRONG BUY,
73,db28a5c1,COALINDIA.NS,2026-01-06,405.6,394.23,428.35,OPEN,,,0,STRONG BUY,
74,775aa509,GODREJCP.NS,2026-01-06,1212.57,1181.56,1274.6,OPEN,,,0,STRONG BUY,
75,6acfc20c,HEROMOTOCO.NS,2026-01-06,5910.2,5735.8,6259.02,OPEN,,,0,STRONG BUY,
76,1aeff63b,HINDALCO.NS,2026-01-06,887.03,860.34,940.43,OPEN,,,0,STRONG BUY,
77,2b40bee3,INDHOTEL.NS,2026-01-06,740.75,722.12,778.01,OPEN,,,0,STRONG BUY,
78,41844ac3,IRCON.NS,2026-01-06,170.91,161.75,189.21,OPEN,,,0,STRONG BUY,
79,750b94aa,IRFC.NS,2026-01-06,123.75,118.48,134.29,OPEN,,,0,STRONG BUY,
80,de51b8db,JINDALSTEL.NS,2026-01-06,1045.8,1014.19,1109.03,OPEN,,,0,STRONG BUY,
81,d569ddaa,JSWSTEEL.NS,2026-01-06,1147.33,1115.32,1211.33,OPEN,,,0,STRONG BUY,
82,a3c7cab1,MARUTI.NS,2026-01-06,16803.87,16470.72,17470.16,OPEN,,,0,STRONG BUY,
83,19f2bf69,MOTHERSON.NS,2026-01-06,121.94,118.41,128.99,OPEN,,,0,STRONG BUY,
84,dccaa491,MUTHOOTFIN.NS,2026-01-06,3844.54,3727.77,4078.09,OPEN,,,0,STRONG BUY,
85,2978229e,NATIONALUM.NS,2026-01-06,305.11,291.44,332.45,OPEN,,,0,STRONG BUY,
86,3c61ce46,NMDC.NS,2026-01-06,81.67,79,87.01,OPEN,,,0,STRONG BUY,
87,9b28e309,NTPC.NS,2026-01-06,335.31,327.64,350.65,OPEN,,,0,STRONG BUY,
88,f1e094bb,RECLTD.NS,2026-01-06,363.89,352.04,387.57,OPEN,,,0,STRONG BUY,
89,dd41a6e8,RVNL.NS,2026-01-06,349.41,331.16,385.89,OPEN,,,0,STRONG BUY,
90,fdcff7f7,SAIL.NS,2026-01-06,140.38,134.48,152.19,OPEN,,,0,STRONG BUY,
91,d6799670,SBIN.NS,2026-01-06,989.75,971.81,1025.65,OPEN,,,0,STRONG BUY,
92,3ca03471,SRF.NS,2026-01-06,3058.9,2978.99,3218.71,OPEN,,,0,STRONG BUY,
93,5dfda7f0,SYNGENE.NS,2026-01-06,658.15,639.74,694.97,OPEN,,,0,STRONG BUY,
94,1f64c59f,TATACONSUM.NS,2026-01-06,1194,1164.2,1253.6,OPEN,,,0,STRONG BUY,
95,a479d524,TITAN.NS,2026-01-06,4012.43,3931.79,4173.71,OPEN,,,0,STRONG BUY,
96,7475bc38,UPL.NS,2026-01-06,786.41,764.54,830.16,OPEN,,,0,STRONG BUY,
97,2c3abfc9,VEDL.NS,2026-01-06,592.45,572.89,631.57,OPEN,,,0,STRONG BUY,
98,b6147fb7,VOLTAS.NS,2026-01-06,1413,1361.74,1515.51,OPEN,,,0,STRONG BUY,
